journey_id,touch_order,total_touches,channel,month,quarter,converted,revenue,is_first,is_last,data_source
1,1,4,Display Ads,2025-03,2025-Q1,True,76.14,True,False,SYNTHETIC
1,2,4,Email Marketing,2025-03,2025-Q1,True,76.14,False,False,SYNTHETIC
1,3,4,Email Marketing,2025-03,2025-Q1,True,76.14,False,False,SYNTHETIC
1,4,4,Paid Social,2025-04,2025-Q2,True,76.14,False,True,SYNTHETIC
2,1,5,Email Marketing,2025-10,2025-Q4,True,131.82,True,False,SYNTHETIC
2,2,5,Email Marketing,2025-10,2025-Q4,True,131.82,False,False,SYNTHETIC
2,3,5,Organic Search,2025-10,2025-Q4,True,131.82,False,False,SYNTHETIC
2,4,5,Direct / Referral,2025-10,2025-Q4,True,131.82,False,False,SYNTHETIC
2,5,5,Display Ads,2025-10,2025-Q4,True,131.82,False,True,SYNTHETIC
3,1,1,Paid Social,2025-08,2025-Q3,False,0.0,True,True,SYNTHETIC
4,1,1,Paid Social,2025-06,2025-Q2,False,0.0,True,True,SYNTHETIC
5,1,4,Direct / Referral,2025-09,2025-Q3,False,0.0,True,False,SYNTHETIC
5,2,4,Paid Social,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
5,3,4,Paid Social,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
5,4,4,Email Marketing,2025-09,2025-Q3,False,0.0,False,True,SYNTHETIC
6,1,1,Organic Search,2025-01,2025-Q1,False,0.0,True,True,SYNTHETIC
7,1,1,Paid Social,2025-11,2025-Q4,False,0.0,True,True,SYNTHETIC
8,1,6,Display Ads,2025-02,2025-Q1,False,0.0,True,False,SYNTHETIC
8,2,6,Paid Social,2025-02,2025-Q1,False,0.0,False,False,SYNTHETIC
8,3,6,Paid Social,2025-02,2025-Q1,False,0.0,False,False,SYNTHETIC
8,4,6,Email Marketing,2025-02,2025-Q1,False,0.0,False,False,SYNTHETIC
8,5,6,Email Marketing,2025-02,2025-Q1,False,0.0,False,False,SYNTHETIC
8,6,6,Paid Social,2025-02,2025-Q1,False,0.0,False,True,SYNTHETIC
9,1,6,Email Marketing,2025-02,2025-Q1,True,429.03,True,False,SYNTHETIC
9,2,6,Paid Social,2025-02,2025-Q1,True,429.03,False,False,SYNTHETIC
9,3,6,Display Ads,2025-02,2025-Q1,True,429.03,False,False,SYNTHETIC
9,4,6,Email Marketing,2025-02,2025-Q1,True,429.03,False,False,SYNTHETIC
9,5,6,Paid Social,2025-02,2025-Q1,True,429.03,False,False,SYNTHETIC
9,6,6,Email Marketing,2025-02,2025-Q1,True,429.03,False,True,SYNTHETIC
10,1,2,Email Marketing,2025-10,2025-Q4,False,0.0,True,False,SYNTHETIC
10,2,2,Display Ads,2025-10,2025-Q4,False,0.0,False,True,SYNTHETIC
11,1,6,Paid Social,2025-09,2025-Q3,False,0.0,True,False,SYNTHETIC
11,2,6,Organic Search,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
11,3,6,Paid Social,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
11,4,6,Email Marketing,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
11,5,6,Paid Social,2025-09,2025-Q3,False,0.0,False,False,SYNTHETIC
11,6,6,Display Ads,2025-09,2025-Q3,False,0.0,False,True,SYNTHETIC
12,1,4,Email Marketing,2025-12,2025-Q4,False,0.0,True,False,SYNTHETIC
12,2,4,Paid Social,2025-12,2025-Q4,False,0.0,False,False,SYNTHETIC
12,3,4,Display Ads,2025-12,2025-Q4,False,0.0,False,False,SYNTHETIC
12,4,4,Paid Social,2025-12,2025-Q4,False,0.0,False,True,SYNTHETIC
13,1,1,Paid Social,2025-03,2025-Q1,True,416.96,True,True,SYNTHETIC
